pid,process_name,avg_cpu,max_cpu,avg_memory,total_disk_write,max_write_burst,process_lifetime,label
5592,svchost.exe,0.0,0.0,0.26,0,0,23.0,0
5596,dllhost.exe,0.0,0.0,0.21,0,0,104.0,0
5624,SecurityHealthSystray.exe,0.0,0.0,0.1111538461538461,0,0,1224501.0,0
5664,python.exe,0.0,0.0,0.1799999999999999,40255,6776,82.0,1
5744,UserOOBEBroker.exe,0.0,0.0,0.1116666666666666,0,0,26851.0,0
5764,SearchProtocolHost.exe,0.0,0.0,0.1775,0,0,81.0,0
5792,svchost.exe,0.0,0.0,0.0899999999999999,0,0,82.0,0
5800,RuntimeBroker.exe,1.6,11.2,0.4814285714285714,0,0,82.0,0
5808,msedge.exe,0.0,0.0,1.7433333333333334,1690143,1690143,324.0,1
5916,python.exe,0.0,0.0,0.1475,0,0,81.0,0
5916,svchost.exe,0.0,0.0,0.15,0,0,81.0,0
5928,MpDefenderCoreService.exe,0.0,0.0,0.2133333333333333,0,0,26851.0,0
5936,dllhost.exe,0.0,0.0,0.1772222222222222,159744,159744,26851.0,1
6016,msedge.exe,0.0,0.0,0.3,0,0,0.0,0
6172,dwm.exe,4.072,62.5,1.1464,0,0,1224479.0,0
6204,msedge.exe,0.0,0.0,0.0872727272727272,12,12,17065.0,1
6208,SearchFilterHost.exe,0.0,0.0,0.105,0,0,29.0,0
6220,MicrosoftEdgeUpdate.exe,0.0,0.0,0.04,0,0,81.0,0
6280,SearchProtocolHost.exe,25.72,86.0,0.18,248,248,93.0,1
6300,msedge.exe,0.0,0.0,0.2927272727272727,672,224,17065.0,1
6308,msedge.exe,0.0,0.0,0.2333333333333333,0,0,324.0,0
6336,MsMpEng.exe,0.7944444444444445,14.3,3.616111111111112,0,0,26852.0,0
6372,fodhelper.exe,0.0,0.0,0.0854545454545454,0,0,1209398.0,0
6420,msedge.exe,0.0,0.0,3.084545454545456,4078798,4029678,17065.0,1
6440,msedge.exe,0.0,0.0,0.21,0,0,24.0,0
6480,python.exe,0.0,0.0,0.18,21378,7260,81.0,1
6536,svchost.exe,0.0,0.0,0.3127999999999999,0,0,1224480.0,0
6652,svchost.exe,0.0,0.0,0.3588000000000001,0,0,1224480.0,0
6696,SkypeApp.exe,0.0,0.0,1.82,4407,4407,35.0,1
6700,SearchFilterHost.exe,0.0,0.0,0.11,0,0,72.0,0
6756,SearchFilterHost.exe,0.0,0.0,0.1133333333333333,0,0,23.0,0
6764,msedge.exe,0.0,0.0,1.025,0,0,432.0,0
6768,SkypeApp.exe,0.0,0.0,2.26,4412,4412,82.0,1
6828,NisSrv.exe,0.0,0.0,0.1316666666666666,0,0,26853.0,0
6832,svchost.exe,0.0,0.0,0.09,0,0,1984.0,0
6916,msedge.exe,0.0,0.0,1.77,0,0,0.0,0
6960,ApplicationFrameHost.exe,0.0,0.0,0.3576,0,0,1224480.0,0
7036,fontdrvhost.exe,0.0,0.0,0.0812,0,0,1224480.0,0
7152,UserOOBEBroker.exe,0.0,0.0,0.12,0,0,83.0,0
7312,RuntimeBroker.exe,0.0,0.0,0.13,0,0,35.0,0
7360,SecurityHealthService.exe,0.0,0.0,0.2292,0,0,1224481.0,0
7364,RuntimeBroker.exe,0.0,0.0,0.3044444444444444,0,0,26854.0,0
7460,svchost.exe,0.0,0.0,0.1131818181818182,0,0,1209399.0,0
7500,FileCoAuth.exe,0.0,0.0,0.4699999999999998,4655,1426,83.0,1
7512,cmd.exe,0.0,0.0,0.0666666666666666,0,0,23.0,0
7576,python.exe,0.0,0.0,0.15,0,0,93.0,0
7612,conhost.exe,0.0,0.0,0.26,0,0,74.0,0
7684,MpDefenderCoreService.exe,0.0,0.0,0.25,0,0,82.0,0
7740,msedge.exe,0.0,0.0,0.42,0,0,0.0,0
7752,SkypeBridge.exe,0.0,0.0,0.7277777777777779,1276,319,26854.0,1
7756,VBoxTray.exe,0.0,0.0,0.1316666666666666,200,16,26854.0,1
7776,TiWorker.exe,0.0,0.0,0.3904545454545455,0,0,1209399.0,0
7820,conhost.exe,0.0,0.0,0.26,0,0,23.0,0
7936,msedge.exe,0.0,0.0,0.43,0,0,0.0,0
7992,RuntimeBroker.exe,0.0,0.0,0.3319999999999999,0,0,11772.0,0
8084,msedge.exe,0.0,0.0,0.35,0,0,300.0,0
8092,msedge.exe,0.0,0.0,0.1,0,0,0.0,0
8104,RuntimeBroker.exe,0.0,0.0,0.23,0,0,82.0,0
