pid,process_name,avg_cpu,max_cpu,avg_memory,total_disk_write,max_write_burst,process_lifetime
5228,SearchFilterHost.exe,0.0,0.0,0.11,0,0,0.0
5272,MsMpEng.exe,0.0,0.0,2.56875,0,0,104.0
5312,smartscreen.exe,0.0,0.0,0.28611111111111115,0,0,26851.0
5520,SkypeBackgroundHost.exe,0.0,0.0,0.05000000000000001,0,0,35.0
5592,svchost.exe,0.0,0.0,0.26,0,0,23.0
5596,dllhost.exe,0.0,0.0,0.21,0,0,104.0
5624,SecurityHealthSystray.exe,0.0,0.0,0.11115384615384614,0,0,1224501.0
5664,python.exe,0.0,0.0,0.17999999999999997,40255,6776,82.0
5744,UserOOBEBroker.exe,0.0,0.0,0.11166666666666668,0,0,26851.0
5764,SearchProtocolHost.exe,0.0,0.0,0.17750000000000002,0,0,81.0
5792,svchost.exe,0.0,0.0,0.08999999999999998,0,0,82.0
5800,RuntimeBroker.exe,1.5999999999999999,11.2,0.48142857142857143,0,0,82.0
5808,msedge.exe,0.0,0.0,1.7433333333333334,1690143,1690143,324.0
5916,python.exe,0.0,0.0,0.1475,0,0,81.0
5916,svchost.exe,0.0,0.0,0.15,0,0,81.0
5928,MpDefenderCoreService.exe,0.0,0.0,0.21333333333333332,0,0,26851.0
5936,dllhost.exe,0.0,0.0,0.17722222222222225,159744,159744,26851.0
6016,msedge.exe,0.0,0.0,0.3,0,0,0.0
6172,dwm.exe,4.072,62.5,1.1464,0,0,1224479.0
6204,msedge.exe,0.0,0.0,0.08727272727272727,12,12,17065.0
6208,SearchFilterHost.exe,0.0,0.0,0.10500000000000001,0,0,29.0
6220,MicrosoftEdgeUpdate.exe,0.0,0.0,0.04,0,0,81.0
6280,SearchProtocolHost.exe,25.72,86.0,0.18,248,248,93.0
6300,msedge.exe,0.0,0.0,0.2927272727272727,672,224,17065.0
6308,msedge.exe,0.0,0.0,0.2333333333333333,0,0,324.0
6336,MsMpEng.exe,0.7944444444444445,14.3,3.6161111111111115,0,0,26852.0
6372,fodhelper.exe,0.0,0.0,0.08545454545454546,0,0,1209398.0
6420,msedge.exe,0.0,0.0,3.0845454545454554,4078798,4029678,17065.0
6440,msedge.exe,0.0,0.0,0.21,0,0,24.0
6480,python.exe,0.0,0.0,0.18,21378,7260,81.0
6536,svchost.exe,0.0,0.0,0.31279999999999997,0,0,1224480.0
6652,svchost.exe,0.0,0.0,0.3588000000000001,0,0,1224480.0
6696,SkypeApp.exe,0.0,0.0,1.82,4407,4407,35.0
6700,SearchFilterHost.exe,0.0,0.0,0.11,0,0,72.0
6756,SearchFilterHost.exe,0.0,0.0,0.11333333333333333,0,0,23.0
6764,msedge.exe,0.0,0.0,1.025,0,0,432.0
6768,SkypeApp.exe,0.0,0.0,2.26,4412,4412,82.0
6828,NisSrv.exe,0.0,0.0,0.13166666666666668,0,0,26853.0
6832,svchost.exe,0.0,0.0,0.09,0,0,1984.0
6916,msedge.exe,0.0,0.0,1.77,0,0,0.0
6960,ApplicationFrameHost.exe,0.0,0.0,0.3576,0,0,1224480.0
7036,fontdrvhost.exe,0.0,0.0,0.0812,0,0,1224480.0
7152,UserOOBEBroker.exe,0.0,0.0,0.12,0,0,83.0
7312,RuntimeBroker.exe,0.0,0.0,0.13,0,0,35.0
7360,SecurityHealthService.exe,0.0,0.0,0.22920000000000001,0,0,1224481.0
7364,RuntimeBroker.exe,0.0,0.0,0.30444444444444446,0,0,26854.0
7460,svchost.exe,0.0,0.0,0.11318181818181822,0,0,1209399.0
7500,FileCoAuth.exe,0.0,0.0,0.46999999999999986,4655,1426,83.0
7512,cmd.exe,0.0,0.0,0.06666666666666667,0,0,23.0
7576,python.exe,0.0,0.0,0.15,0,0,93.0
7612,conhost.exe,0.0,0.0,0.26,0,0,74.0
7684,MpDefenderCoreService.exe,0.0,0.0,0.25,0,0,82.0
7740,msedge.exe,0.0,0.0,0.42,0,0,0.0
7752,SkypeBridge.exe,0.0,0.0,0.7277777777777779,1276,319,26854.0
7756,VBoxTray.exe,0.0,0.0,0.13166666666666668,200,16,26854.0
7776,TiWorker.exe,0.0,0.0,0.39045454545454555,0,0,1209399.0
7820,conhost.exe,0.0,0.0,0.26,0,0,23.0
7936,msedge.exe,0.0,0.0,0.43,0,0,0.0
7992,RuntimeBroker.exe,0.0,0.0,0.33199999999999996,0,0,11772.0
8084,msedge.exe,0.0,0.0,0.35,0,0,300.0
8092,msedge.exe,0.0,0.0,0.1,0,0,0.0
8104,RuntimeBroker.exe,0.0,0.0,0.23,0,0,82.0
8148,msedge.exe,0.0,0.0,0.22,0,0,0.0
